disease,combination,food_name
pattern baldness,"Egg (cooked), Sweet potato, Carrot, Spinach, Blueberry",Skin Glow Egg (cooked) Bowl #1
pattern baldness,"Salmon, Oats, Spinach, Carrot, Sunflower seeds",Coat Shine Salmon Stew #2
pattern baldness,"Sardine, Pumpkin, Carrot, Spinach, Blueberry",Derma Care Sardine Dinner #3
pattern baldness,"Egg (whole), Sweet potato, Spinach, Carrot, Sunflower seeds",Itch Relief Egg Mix #4
pattern baldness,"Beef liver, Oats, Carrot, Spinach, Blueberry",Fur Renewal Beef liver Plate #5
psoriasiform-lichenoid dermatosis,"Egg (whole), Sweet potato, Spinach, Blueberry",Skin Glow Egg Bowl #1
psoriasiform-lichenoid dermatosis,"Salmon, Sweet potato, Spinach, Pumpkin seeds",Coat Shine Salmon Stew #2
psoriasiform-lichenoid dermatosis,"Sardine, Sweet potato, Spinach, Blueberry",Derma Care Sardine Dinner #3
psoriasiform-lichenoid dermatosis,"Beef, Sweet potato, Spinach, Flaxseed",Itch Relief Beef Mix #4
psoriasiform-lichenoid dermatosis,"Beef liver, Sweet potato, Spinach, Blueberry",Fur Renewal Beef liver Plate #5
sebaceous adenitis,"Salmon, Sweet potato, Carrot, Spinach, Flaxseed",Skin Glow Salmon Bowl #1
sebaceous adenitis,"Sardine, Pumpkin, Spinach, Chickpeas, Pumpkin seeds",Coat Shine Sardine Stew #2
sebaceous adenitis,"Egg (cooked), Sweet potato, Chickpeas, Kale, Sunflower seeds",Derma Care Egg (cooked) Dinner
sebaceous adenitis,"Egg (whole), Pumpkin, Kale, Carrot, Sunflower oil",Itch Relief Egg Mix #4
sebaceous adenitis,"Beef, Sweet potato, Carrot, Spinach, Flaxseed oil",Fur Renewal Beef Plate #5
seborrhea,"Egg (cooked), Sweet potato, Carrot, Spinach, Blueberry",Skin Glow Egg (cooked) Bowl #1
seborrhea,"Salmon, Pumpkin, Spinach, Chickpeas, Sunflower seeds",Coat Shine Salmon Stew #2
seborrhea,"Sardine, Sweet potato, Chickpeas, Carrot, Blueberry",Derma Care Sardine Dinner #3
seborrhea,"Egg (whole), Pumpkin, Carrot, Spinach, Sunflower oil",Itch Relief Egg Mix #4
seborrhea,"Beef, Sweet potato, Spinach, Chickpeas, Blueberry",Fur Renewal Beef Plate #5
tracheal collapse,"Chicken breast, Sweet potato, Broccoli, Bell pepper, Blueberry",Breathe Easy Chicken breast Bowl #1
tracheal collapse,"Salmon, Pumpkin, Bell pepper, Kale, Bone broth",Airway Care Salmon Stew
tracheal collapse,"Sardine, Rice, Kale, Broccoli, Blueberry",Lung Support Sardine Dinner
tracheal collapse,"Egg White, Sweet potato, Broccoli, Bell pepper, Bone broth",Clear Air Egg White Mix #4
tracheal collapse,"Beef heart, Pumpkin, Bell pepper, Kale, Blueberry",Breathe Easy Beef heart Bowl
vitamin A-responsive dermatosis,"Beef Liver (small amount), Pumpkin, Carrot, Spinach, Pumpkin seeds",Skin Glow Beef Liver (small amount) Bowl
vitamin A-responsive dermatosis,"Egg yolk, Sweet potato, Spinach, Kale, Sunflower seeds",Coat Shine Egg yolk Stew
vitamin A-responsive dermatosis,"Salmon, Pumpkin, Kale, Carrot, Pumpkin seeds",Derma Care Salmon Dinner #3
vitamin A-responsive dermatosis,"Sardine, Sweet potato, Carrot, Spinach, Sunflower seeds",Itch Relief Sardine Mix #4
vitamin A-responsive dermatosis,"Beef, Pumpkin, Spinach, Kale, Pumpkin seeds",Fur Renewal Beef Plate #5
vitiligo,"Beef liver, Sweet potato, Spinach, Asparagus, Blueberry",Skin Glow Beef liver Bowl
vitiligo,"Chicken, Sweet potato, Asparagus, Broccoli, Sunflower seeds",Coat Shine Chicken Stew
vitiligo,"Egg (whole), Sweet potato, Broccoli, Spinach, Blueberry",Derma Care Egg Dinner #3
vitiligo,"Salmon, Sweet potato, Spinach, Asparagus, Sunflower seeds",Itch Relief Salmon Mix
vitiligo,"Sardine, Sweet potato, Asparagus, Broccoli, Blueberry",Fur Renewal Sardine Plate #5
von Willebrand's disease,"Salmon, Sweet potato, Spinach, Broccoli, Sunflower seeds",Blood Builder Salmon Bowl #1
von Willebrand's disease,"Sardine, Pumpkin, Broccoli, Kale, Sunflower seeds",Iron Boost Sardine Stew #2
von Willebrand's disease,"Beef liver, Sweet potato, Kale, Parsley, Sunflower seeds",Vital Blood Beef liver Dinner #3
von Willebrand's disease,"Egg (whole), Pumpkin, Parsley, Bell pepper, Sunflower seeds",Blood Builder Egg Bowl #4
von Willebrand's disease,"Lean beef, Sweet potato, Bell pepper, Spinach, Sunflower seeds",Iron Boost Lean beef Stew #5
zinc-responsive dermatosis,"Beef, Sweet potato, Spinach, Carrot, Pumpkin seeds",Skin Glow Beef Bowl #1
zinc-responsive dermatosis,"Egg (whole), Pumpkin, Carrot, Chickpeas, Sunflower seeds",Coat Shine Egg Stew #2
zinc-responsive dermatosis,"Salmon, Sweet potato, Chickpeas, Kale, Hemp seeds",Derma Care Salmon Dinner #3
zinc-responsive dermatosis,"Sardine, Pumpkin, Kale, Spinach, Safflower oil",Itch Relief Sardine Mix #4
zinc-responsive dermatosis,"Beef liver, Sweet potato, Spinach, Carrot, Sesame seeds",Fur Renewal Beef liver Plate #5
